TARIF,ACCES_PMR,GESTIONNAIRE,LOC,TYPE,LAT,LONG
payant,oui,Toilette publique  RATP,Cluny - La Sorbonne - 10,SANISETTE,48.85079575570429,2.3450308883652258
gratuit,oui,Toilette publique  RATP,Madeleine - 14,SANISETTE,48.869956563045214,2.3253476474582184
gratuit,non,Toilette publique  RATP,Charles de Gaulle - Etoile - A,SANISETTE,48.8740658,2.2951493
gratuit,oui,Toilette publique  RATP,La Defense (Grande Arche) - A,SANISETTE,48.891826754836515,2.237992043215619
gratuit,oui,Toilette publique  RATP,Nation - A,SANISETTE,48.8484803444062,2.39676520957729
gratuit,non,Toilette publique  RATP,Denfert-Rochereau - B,SANISETTE,48.8332144,2.3333365
gratuit,oui,Toilette publique  RATP,Robinson - fin de ligne - B,SANISETTE,48.78036417660201,2.2816982237256243
gratuit,oui,Toilette publique  RATP,Bibliotheque Francois Mitterrand - 14,SANISETTE,48.82978526345046,2.3776037993133134
gratuit,oui,Toilette publique  RATP,Cour Saint-Emilion - 14,SANISETTE,48.83346,2.38607
gratuit,oui,Toilette publique  RATP,Saint Lazare - 14,SANISETTE,48.87552856932788,2.324120111297863
gratuit,oui,Toilette publique  RATP,Charles de Gaulle - Etoile - A,SANISETTE,48.87346419088715,2.2963810880084012
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.858291026403705,2.3483281842513337
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.858857284381365,2.347769856742684
gratuit,oui,Toilette publique  RATP,Nanterre - Prefecture - A,SANISETTE,48.8971999,2.222709
gratuit,oui,Toilette publique  RATP,Noisy-le-Grand - Mont d'Est - A,SANISETTE,48.84078,2.54804
gratuit,oui,Toilette publique  RATP,Noisy-le-Grand - Mont d'Est - A,SANISETTE,48.84082,2.55154
gratuit,oui,Toilette publique  RATP,Saint-Maur - Creteil - A,SANISETTE,48.80641960896216,2.47204505094563
gratuit,oui,Toilette publique  RATP,Val d'Europe - A,SANISETTE,48.85549704826123,2.7736084332189748
gratuit,oui,Toilette publique  RATP,Villejuif - Louis Aragon - RDS,SANISETTE,48.78730304269838,2.3674101521293744
gratuit,non,Toilette publique  RATP,Bobigny - Pablo Picasso - 5,SANISETTE,48.90717445316718,2.4492666955791327
gratuit,oui,Toilette publique  RATP,Trocadero - 6,SANISETTE,48.86419500504601,2.2878473386642373
gratuit,oui,Toilette publique  RATP,Gare de Lyon - A,SANISETTE,48.84436,2.37291
gratuit,oui,Toilette publique  RATP,Marne-la-Vallee - Chessy - A,SANISETTE,48.86849697024026,2.7822597305629526
gratuit,oui,Toilette publique  RATP,Nogent-sur-Marne - A,SANISETTE,48.83510877417377,2.4716839161590887
gratuit,oui,Toilette publique  RATP,Gentilly - B,SANISETTE,48.8153713,2.3408362
gratuit,non,Toilette publique  RATP,Charles de Gaulle - Etoile - 1,SANISETTE,48.87445277569274,2.2963258094953476
gratuit,oui,Toilette publique  RATP,Villejuif - Louis Aragon - 7,SANISETTE,48.78730304269838,2.3674101521293744
gratuit,oui,Toilette publique  RATP,Asnieres-Gennevilliers - Les Courtilles - 13,SANISETTE,48.93074305254229,2.283951123396349
gratuit,oui,Toilette publique  RATP,Pyramides - 14,SANISETTE,48.8656737,2.3344599
gratuit,oui,Toilette publique  RATP,Nanterre - Ville - A,SANISETTE,48.8950462710121,2.1956095209931936
gratuit,oui,Toilette publique  RATP,Saint-Germain-en-Laye - A,SANISETTE,48.8979364,2.0948768
gratuit,oui,Toilette publique  RATP,Gif-sur-Yvette - B,SANISETTE,48.6981859,2.1367431
gratuit,oui,Toilette publique  RATP,Laplace - B,SANISETTE,48.80784404743202,2.3330228065226883
gratuit,oui,Toilette publique  RATP,Les Agnettes - 13,SANISETTE,48.92317699378374,2.28605910172606
gratuit,oui,Toilette publique  RATP,Bercy - 14,SANISETTE,48.84019224440348,2.3794772572660587
gratuit,oui,Toilette publique  RATP,Gare de Lyon - 14,SANISETTE,48.84391523960347,2.3728897698814633
gratuit,oui,Toilette publique  RATP,Olympiades - 14,SANISETTE,48.8269104,2.3661972
gratuit,oui,Toilette publique  RATP,Auber - A,SANISETTE,48.8731477,2.3295277
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.8622381,2.345496
gratuit,oui,Toilette publique  RATP,Nanterre - Universite - A,SANISETTE,48.901251906231444,2.21599944
gratuit,oui,Toilette publique  RATP,Rueil-Malmaison - A,SANISETTE,48.88722206053287,2.170623204930391
gratuit,oui,Toilette publique  RATP,Antony - B,SANISETTE,48.75482748503882,2.3008650705983067
gratuit,oui,Toilette publique  RATP,Arcueil Cachan - B,SANISETTE,48.798366,2.327766
gratuit,oui,Toilette publique  RATP,Bourg-la-Reine - B,SANISETTE,48.78005093776892,2.3121626259597874
gratuit,non,Toilette publique  RATP,Cite Universitaire - B,SANISETTE,48.8205877,2.3390071
gratuit,oui,Toilette publique  RATP,Massy - Palaiseau - B,SANISETTE,48.725109,2.2606361
gratuit,oui,Toilette publique  RATP,Saint-Remy-les-Chevreuse - B,SANISETTE,48.70286868424979,2.070600214521146
gratuit,Oui,Paris,92102  RUE BLOMET 75015.0,SANISETTE,48.84090598651907,2.300280980817689
gratuit,Oui,Paris,29  RUE MANIN 75019.0,SANISETTE,48.87861935487687,2.3782622313212527
gratuit,Oui,Paris,RUE DE CRIMEE 75019.0,SANISETTE,48.88883561898796,2.3790339650916446
gratuit,Oui,Paris,213  RUE DE BELLEVILLE 75019.0,SANISETTE,48.87544598661789,2.394776616457134
gratuit,Oui,Paris,64  RUE DU VOLGA 75020.0,SANISETTE,48.85271966367163,2.4089887074025595
gratuit,Oui,Paris,face au 375 RUE DES PYRENEES 75020.0,SANISETTE,48.87368018535096,2.389751715108938
gratuit,Oui,Paris,8  RUE D ARCOLE nan,SANISETTE,48.8540198901374,2.3493988910325565
gratuit,Oui,Paris,face au 12 RUE DE BABYLONE nan,SANISETTE,48.851626831079074,2.325180137951545
gratuit,Oui,Paris,face au 4 AVENUE DE MESSINE nan,SANISETTE,48.87541798841174,2.3151151715527374
gratuit,Oui,Paris,29  RUE ROLAND BARTHES 75012.0,SANISETTE,48.8444926838465,2.3774441851341352
gratuit,Oui,Paris,259 bis AVENUE DAUMESNIL 75012.0,SANISETTE,48.83651368622266,2.4043941454835926
gratuit,Oui,Paris,117  BOULEVARD VINCENT AURIOL 75013.0,SANISETTE,48.833717304602885,2.36512631285455
gratuit,Oui,Paris,46  RUE CHARLES MOUREU 75013.0,SANISETTE,48.829082146443014,2.3607783123277315
gratuit,Oui,Paris,face au 40 AVENUE REILLE 75014.0,SANISETTE,48.82444207894634,2.338538930462
gratuit,Oui,Paris,RUE DES MARINIERS 75014.0,SANISETTE,48.82760820526359,2.3111981116311777
gratuit,Non,Paris,JARDIN DE L'HOPITAL SAINTE-PERINE 75016.0,TOILETTES,48.84484410447445,2.2691726044395395
gratuit,Non,Paris,JARDIN PAUL DIDIER 75017.0,TOILETTES,48.89546130163387,2.320485641136297
gratuit,Non,Paris,JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR 75005.0,TOILETTES,48.84824348066088,2.3591336603820756
gratuit,Non,Paris,RUE BOSSUET 75010.0,URINOIR,48.878782534922934,2.3523454278624474
gratuit,Oui,Paris,38  RUE CAMBRONNE 75015.0,SANISETTE,48.84552661355718,2.301897943958141
gratuit,Oui,Paris,37  RUE MIRABEAU 75016.0,SANISETTE,48.84593889811058,2.2690815555105677
gratuit,Oui,Paris,96 ter RUE LEMERCIER 75017.0,SANISETTE,48.88942282181049,2.318866697645445
gratuit,Oui,Paris,26 bis AVENUE CORENTIN CARIOU 75019.0,SANISETTE,48.89731268179251,2.3856533556850783
gratuit,Oui,Paris,101  RUE ALEXANDRE DUMAS 75020.0,SANISETTE,48.855403987768895,2.400081520777228
gratuit,Oui,Paris,face au 121 RUE DES PYRENEES 75020.0,SANISETTE,48.85704901565088,2.404517268525465
gratuit,Oui,Paris,171  RUE DES PYRENEES 75020.0,SANISETTE,48.86001571292929,2.401021510043811
gratuit,Oui,Paris,73  RUE REAUMUR nan,SANISETTE,48.86679354360574,2.349571365122188
gratuit,Oui,Paris,2  RUE DES QUATRE FILS nan,SANISETTE,48.860059866028,2.360700687397763
gratuit,Oui,Paris,135 bis BOULEVARD DU MONTPARNASSE nan,SANISETTE,48.841202569450836,2.3323286043872686
gratuit,Oui,Paris,75  BOULEVARD SAINT GERMAIN nan,SANISETTE,48.851388278836424,2.342803068261683
gratuit,Oui,Paris,BOULEVARD MALESHERBES nan,SANISETTE,48.87072323445267,2.323053984722453
gratuit,Oui,Paris,11  AVENUE TRUDAINE nan,SANISETTE,48.88166539264047,2.3455162634729594
gratuit,Oui,Paris,PLACE DU COLONEL FABIEN 75010.0,SANISETTE,48.87798177436245,2.3700838988336903
gratuit,Oui,Paris,111  AVENUE DAUMESNIL 75012.0,SANISETTE,48.84498445223605,2.380317848061394
gratuit,Oui,Paris,AVENUE CLAUDE REGAUD 75013.0,SANISETTE,48.822344736321774,2.372763643662198
gratuit,Oui,Paris,117  BOULEVARD MASSENA 75013.0,SANISETTE,48.81958369499793,2.363982338246427
gratuit,Oui,Paris,face au 14 AVENUE RENE COTY 75014.0,SANISETTE,48.83036895346168,2.3338341695483735
gratuit,Oui,Paris,SQUARE RENE LE GALL 75013.0,TOILETTES,48.83133948649257,2.348139168393053
gratuit,Non,Paris,JARDIN GEORGES DUHAMEL 75013.0,TOILETTES,48.831979630954024,2.377715670547634
gratuit,Non,Paris,JARDIN BERTHE MORISOT 75013.0,TOILETTES,48.82620278372308,2.3748345010462204
gratuit,Non,Paris,JARDIN DURANTON 75015.0,TOILETTES,48.84127765140588,2.285555470390217
gratuit,Non,Paris,JARDIN D'EOLE - TERRAIN DE BASKET 75018.0,URINOIR,48.886195073546475,2.3647744455735316
gratuit,Non,Paris,SQUARE EMMANUEL FLEURY 75020.0,TOILETTES,48.8708129956025,2.4112649560808945
gratuit,Non,Paris,JARDIN MEDIEVAL DU MUSEE DE CLUNY 75005.0,TOILETTES,48.85081103124964,2.344087165266142
gratuit,Oui,Paris,SQUARE LOUIS MAJORELLE 75011.0,TOILETTES,48.85199247850565,2.3809240060504635
gratuit,Non,Paris,SQUARE RUES BELLEVILLE - TELEGRAPHE 75020.0,TOILETTES,48.87498498901931,2.3992812545787996
gratuit,Oui,Paris,BOIS DE VINCENNES - PARC FLORAL DE PARIS - CHATEAU 75012.0,TOILETTES,48.8399284317324,2.4407682131047346
gratuit,Oui,Paris,AVENUE PAUL DOUMER 75016.0,SANISETTE,48.862157963392185,2.2863820335704474
gratuit,Oui,Paris,22  RUE GROS 75016.0,SANISETTE,48.85129267928767,2.2754887611742216
gratuit,Oui,Paris,25  AVENUE DE CLICHY 75017.0,SANISETTE,48.88565931519143,2.3263436237887074
gratuit,Oui,Paris,RUE DE L'EVANGILE 75018.0,SANISETTE,48.89149999854925,2.361214699113301
gratuit,Oui,Paris,154  RUE D AUBERVILLIERS 75019.0,SANISETTE,48.893384136510086,2.3698556399042014
gratuit,Oui,Paris,177  AVENUE DE FLANDRE 75019.0,SANISETTE,48.89474105377586,2.3820269079458583
gratuit,Oui,Paris,3  RUE BOTZARIS 75019.0,SANISETTE,48.877863914358414,2.3812508300153574
gratuit,Oui,Paris,face au 45 AVENUE SIMON BOLIVAR 75019.0,SANISETTE,48.87623316458193,2.3805412942459827
gratuit,Oui,Paris,1  RUE DE BUZENVAL 75020.0,SANISETTE,48.84910044336136,2.4025839288873616
gratuit,Oui,Paris,69  BOULEVARD DE SEBASTOPOL nan,SANISETTE,48.86366249322703,2.3509627364168146
gratuit,Oui,Paris,123  RUE SAINT MARTIN nan,SANISETTE,48.86079042790049,2.3513157501216657
gratuit,Oui,Paris,186  BOULEVARD SAINT GERMAIN nan,SANISETTE,48.854428127216,2.330995211131629
gratuit,Oui,Paris,51  BOULEVARD DE COURCELLES nan,SANISETTE,48.879227198587344,2.3040281645767915
gratuit,Oui,Paris,4  AVENUE FRANKLIN D ROOSEVELT nan,SANISETTE,48.87014131314519,2.3101609181601725
gratuit,Oui,Paris,21  RUE D AMSTERDAM nan,SANISETTE,48.877605646896434,2.327036875810607
gratuit,Oui,Paris,79 bis RUE LA FAYETTE nan,SANISETTE,48.87674207808279,2.3468526523385034
gratuit,Oui,Paris,2  AVENUE DE BOUVINES 75011.0,SANISETTE,48.84957781951283,2.3963021065433465
gratuit,Oui,Paris,opposé au 52 bis BOULEVARD RICHARD LENOIR 75011.0,SANISETTE,48.85930978120497,2.37200200665522
gratuit,Oui,Paris,36  AVENUE DAUMESNIL 75012.0,SANISETTE,48.849239292689276,2.3710836819740453
gratuit,Oui,Paris,face au 98 QUAI DE LA RAPEE 75012.0,SANISETTE,48.84600859329504,2.3670278056575538
gratuit,Oui,Paris,SQUARE EMILE COHL 75012.0,SANISETTE,48.84199920626392,2.4098957524618534
gratuit,Oui,Paris,opposé au 17 BOULEVARD AUGUSTE BLANQUI 75013.0,SANISETTE,48.83062624643756,2.3533725291965792
gratuit,Oui,Paris,RUE DU FAUBOURG SAINT MARTIN 75010.0,SANISETTE,48.875749513351415,2.3604635760802046
gratuit,Oui,Paris,3  RUE AMBROISE PARE 75010.0,SANISETTE,48.881814396150844,2.3532383458565085
gratuit,Oui,Paris,JARDINS DE LA PORTE DE SAINT CLOUD 75016.0,TOILETTES,48.835869491249895,2.254693572298353
gratuit,Oui,Paris,SQUARE CARPEAUX 75018.0,TOILETTES,48.891476402292284,2.331619279991791
gratuit,Non,Paris,SQUARE DE LA TOUR SAINT-JACQUES 75004.0,TOILETTES,48.85778654782919,2.349321271888649
gratuit,Oui,Paris,SQUARE SAMUEL ROUSSEAU 75007.0,TOILETTES,48.85917224498334,2.3195828826299327
gratuit,Non,Paris,JARDIN CATHERINE LABOURE 75007.0,TOILETTES,48.85140130471326,2.320485393255728
gratuit,Oui,Paris,JARDIN SERGE GAINSBOURG 75019.0,TOILETTES,48.87834464094732,2.408116526394868
gratuit,Non,Paris,JARDINS ROSA LUXEMBOURG 75018.0,TOILETTES,48.88975238967336,2.3635013249014523
gratuit,Oui,Paris,SQUARE DU SERMENT DE KOUFRA 75014.0,TOILETTES,48.822256265999734,2.323600153804334
gratuit,Oui,Paris,76  RUE BRANCION 75015.0,SANISETTE,48.83192956134313,2.3027334854195187
gratuit,Oui,Paris,277  RUE DE VAUGIRARD 75015.0,SANISETTE,48.83966605396287,2.301959067980263
gratuit,Oui,Paris,86  RUE DE LA FEDERATION 75015.0,SANISETTE,48.85284635560979,2.2979882855396836
gratuit,Oui,Paris,BOULEVARD SUCHET 75016.0,SANISETTE,48.86236196660649,2.2682280857896506
gratuit,Oui,Paris,face au 21 AVENUE DU GENERAL SARRAIL 75016.0,SANISETTE,48.845813121421486,2.255987040827983
gratuit,Oui,Paris,16  AVENUE DU PARC DES PRINCES 75016.0,SANISETTE,48.84122995590826,2.254610908740306
gratuit,Oui,Paris,45 BOULEVARD MARGUERITE DE ROCHECHOUART 75009.0,SANISETTE,48.88273669644903,2.3433914031972214
gratuit,Oui,Paris,135  RUE DAMREMONT 75018.0,SANISETTE,48.8965489204548,2.3382696834994747
gratuit,Oui,Paris,9  BOULEVARD NEY 75018.0,SANISETTE,48.89775890686294,2.3416420008837497
gratuit,Oui,Paris,RUE DU PRES SAINT-GERVAIS 75019.0,SANISETTE,48.876186042326026,2.3930155080426063
gratuit,Oui,Paris,92  RUE CURIAL 75019.0,SANISETTE,48.895834539709824,2.3756614735418387
gratuit,Oui,Paris,AVENUE DE LA PORTE BRUNET 75019.0,SANISETTE,48.88389762041914,2.3978596801042724
gratuit,Oui,Paris,100  AVENUE DE FLANDRE 75019.0,SANISETTE,48.89096040821487,2.3772430004310534
gratuit,Oui,Paris,PLACE DE L ADJUDANT VINCENOT 75020.0,SANISETTE,48.870690811293336,2.409358996058924
gratuit,Oui,Paris,24  RUE SAINT FARGEAU 75020.0,SANISETTE,48.871554163366646,2.402140186133077
gratuit,Oui,Paris,9  RUE COQUILLIERE nan,SANISETTE,48.8635474009773,2.3424722986932665
gratuit,Oui,Paris,RUE SAINT ANTOINE nan,SANISETTE,48.85530319788792,2.360419701884549
gratuit,Oui,Paris,21 bis BOULEVARD BOURDON nan,SANISETTE,48.849930706291325,2.366735495873733
gratuit,Oui,Paris,face au 50 RUE DE RIVOLI nan,SANISETTE,48.85678942451888,2.354183092290367
gratuit,Oui,Paris,face au 75 bis RUE MONGE nan,SANISETTE,48.84312297015192,2.3520729839787404
gratuit,Oui,Paris,26  RUE BUFFON nan,SANISETTE,48.841308049754275,2.3562246831176648
gratuit,Oui,Paris,85  BOULEVARD RASPAIL nan,SANISETTE,48.84768309080963,2.327969092306715
gratuit,Oui,Paris,PLACE VAUBAN nan,SANISETTE,48.853625040539285,2.3113196527380353
gratuit,Oui,Paris,face au 81 QUAI DE VALMY 75010.0,SANISETTE,48.87258118624698,2.3640739177876418
gratuit,Oui,Paris,82  AVENUE DE LA REPUBLIQUE 75011.0,SANISETTE,48.86424208661518,2.3795231213828707
gratuit,Oui,Paris,123  BOULEVARD RICHARD LENOIR 75011.0,SANISETTE,48.865841562591655,2.369377340131359
gratuit,Oui,Paris,1129  BOULEVARD JULES FERRY 75011.0,SANISETTE,48.86729232571321,2.3685754962018137
gratuit,Oui,Paris,6  AVENUE COURTELINE 75012.0,SANISETTE,48.844093326334296,2.4112654731297694
gratuit,Oui,Paris,126  BOULEVARD DE L HOPITAL 75013.0,SANISETTE,48.834805438287674,2.3578058508851236
gratuit,Oui,Paris,5  BOULEVARD KELLERMANN 75013.0,SANISETTE,48.81897694760634,2.3575912185485213
gratuit,Oui,Paris,90  RUE DE TOLBIAC 75013.0,SANISETTE,48.82683406786535,2.3645813652403858
gratuit,Oui,Paris,100  BOULEVARD AUGUSTE BLANQUI 75013.0,SANISETTE,48.83113397852206,2.344431701329784
gratuit,Oui,Paris,opposé au 41 RUE ESQUIROL 75013.0,SANISETTE,48.835822547644895,2.3600487107112333
gratuit,Oui,Paris,103  BOULEVARD BRUNE 75014.0,SANISETTE,48.825685892245296,2.3150536241547286
gratuit,Oui,Paris,AVENUE DU MAINE 75014.0,SANISETTE,48.83226021863131,2.325309655442211
gratuit,Oui,Paris,51  QUAI DE VALMY 75010.0,SANISETTE,48.87027367959495,2.3658633877207897
gratuit,Non,Paris,PARC KELLERMANN 75013.0,TOILETTES,48.81857910392336,2.3549329205738974
gratuit,Non,Paris,JARDIN DU MOULIN DE LA POINTE 75013.0,TOILETTES,48.82101412751667,2.356788716578499
gratuit,Non,Paris,JARDIN JEAN-CLAUDE NICOLAS FORESTIER 75013.0,TOILETTES,48.81884809913537,2.348072406221041
gratuit,Non,Paris,PARC DES BUTTES CHAUMONT 75019.0,TOILETTES,48.878124294408764,2.3799274686578755
gratuit,Non,Paris,JARDIN ATLANTIQUE 75015.0,TOILETTES,48.83980953472804,2.3196854419006425
gratuit,Non,Paris,SQUARE DES BATIGNOLLES 75017.0,TOILETTES,48.887198683574034,2.3172497877998164
gratuit,Non,Paris,SQUARE DES EPINETTES 75017.0,TOILETTES,48.894764964434124,2.3268502410672474
gratuit,Oui,Paris,SQUARE JULES VERNE 75011.0,TOILETTES,48.87001971632358,2.3752938045713656
gratuit,Oui,Paris,JARDIN DU PORT DE L'ARSENAL 75012.0,TOILETTES,48.84888019194627,2.3676189218822197
gratuit,Non,Paris,BOIS DE VINCENNES - DAUMESNIL 75012.0,TOILETTES,48.83277762088802,2.414299848616877
gratuit,Non,Paris,PARC MONTSOURIS 75014.0,TOILETTES,48.82376169991306,2.3369443320563086
gratuit,Oui,Paris,Parc Rives de Seine 75001.0,WC PUBLICS PERMANENTS,48.85785376524151,2.344286199307675
gratuit,Oui,Paris,Avenue des Champs-Elysées 75008.0,LAVATORY,48.867262574141115,2.317089878279596
gratuit,Oui,Paris,AVENUE DE SUFFREN 75015.0,SANISETTE,48.846023120096504,2.308909490180236
gratuit,Oui,Paris,face au 170 RUE DE LOURMEL 75015.0,SANISETTE,48.839092109817905,2.282556463784303
gratuit,Oui,Paris,25  AVENUE DE LOWENDAL 75015.0,SANISETTE,48.849184708415834,2.3035640343865422
gratuit,Oui,Paris,opposé au 17 RUE RENE BINET 75018.0,SANISETTE,48.89928991429743,2.3405303893401146
gratuit,Oui,Paris,face au 52 BOULEVARD DE ROCHECHOUART 75018.0,SANISETTE,48.88324708107194,2.3459061828144248
gratuit,Oui,Paris,57  RUE DE LA CHAPELLE 75018.0,SANISETTE,48.89508955698618,2.358838883116349
gratuit,Oui,Paris,face au 90 BOULEVARD DE LA CHAPELLE 75018.0,SANISETTE,48.884078653316436,2.3534292671943193
gratuit,Oui,Paris,7  RUE DE CAMBRAI 75019.0,SANISETTE,48.895495351952356,2.3789629758483417
gratuit,Oui,Paris,RUE BOTZARIS 75019.0,SANISETTE,48.87938389016798,2.384420443356067
gratuit,Oui,Paris,face au 12 RUE BELGRAND 75020.0,SANISETTE,48.864879404082494,2.4007780609553024
gratuit,Oui,Paris,34  RUE DURIS 75020.0,SANISETTE,48.86596750742653,2.3876318327161696
gratuit,Oui,Paris,23  BOULEVARD DE SEBASTOPOL nan,SANISETTE,48.85985523410491,2.348837230656095
gratuit,Oui,Paris,BOULEVARD DE SEBASTOPOL nan,SANISETTE,48.8648280162637,2.35161126358933
gratuit,Oui,Paris,RUE ORTOLON nan,SANISETTE,48.8431945688025,2.3505902463720973
gratuit,Oui,Paris,2  AVENUE MARCEAU nan,SANISETTE,48.86519333667549,2.3001834460794393
gratuit,Oui,Paris,1  AVENUE DE VERDUN 75010.0,SANISETTE,48.876304046298976,2.3613957718443395
gratuit,Oui,Paris,26  PLACE JEANNE D ARC 75013.0,SANISETTE,48.829779950288575,2.368968163478484
gratuit,Oui,Paris,44  BOULEVARD VINCENT AURIOL 75013.0,SANISETTE,48.83523926554277,2.368782607297408
gratuit,Oui,Paris,3  BOULEVARD DE L HOPITAL 75013.0,SANISETTE,48.84307404437706,2.364334002626625
gratuit,Oui,Paris,face au 297 BOULEVARD RASPAIL 75014.0,SANISETTE,48.83481048849861,2.332118769771475
gratuit,Oui,Paris,SQUARE DE L'AVENUE BOUTROUX 75013.0,TOILETTES,48.82166499053291,2.375899565672565
gratuit,Non,Paris,SQUARE DES CHAMAILLARDS 75013.0,TOILETTES,48.82536366522392,2.3694295007426427
gratuit,Oui,Paris,SQUARE SAINT-ELOI 75012.0,TOILETTES,48.84457582856606,2.387662295775836
gratuit,Oui,Paris,PARC MONTSOURIS 75014.0,TOILETTES,48.82416257802962,2.339848934049351
gratuit,Non,Paris,PARC DES BUTTES CHAUMONT 75019.0,TOILETTES,48.88014301552132,2.3803345581319464
gratuit,Oui,Paris,PARC CLICHY-BATIGNOLLES - MARTIN LUTHER KING 75017.0,TOILETTES,48.889170022687885,2.3153725544851533
gratuit,Oui,Paris,PARC DE PASSY 75016.0,TOILETTES,48.8553646405576,2.2829801125761007
gratuit,Non,Paris,JARDIN EMILE GALLE 75011.0,TOILETTES,48.85378509897565,2.3904653022388125
gratuit,Non,Paris,SQUARE FROT-PHALSBOURG 75011.0,TOILETTES,48.85582536021133,2.3853941164721735
gratuit,Oui,Paris,JARDIN DE REUILLY - PAUL PERNIN 75012.0,TOILETTES,48.84285653768209,2.388283524133827
gratuit,Non,Paris,JARDIN CASQUE D'OR 75020.0,TOILETTES,48.85392001443604,2.4012137756162164
gratuit,Oui,Paris,1  PLACE VIOLET 75015.0,SANISETTE,48.84479730746867,2.290479546332364
gratuit,Oui,Paris,face au 12 PLACE DES ETATS UNIS 75016.0,SANISETTE,48.86830253319043,2.293740160699616
gratuit,Oui,Paris,face au 2 AVENUE DE WAGRAM 75017.0,SANISETTE,48.87494771234444,2.295697431651681
gratuit,Oui,Paris,72  AVENUE DE VILLIERS 75017.0,SANISETTE,48.884027564002565,2.3042061799186198
gratuit,Oui,Paris,2  RUE MONTCALM 75018.0,SANISETTE,48.89178882470802,2.335221479388063
gratuit,Oui,Paris,RUE GERARD DE NERVAL 75018.0,SANISETTE,48.90059318004156,2.33510623705152
gratuit,Oui,Paris,60  BOULEVARD DE LA CHAPELLE 75018.0,SANISETTE,48.884205159907864,2.355151477096698
gratuit,Oui,Paris,face au 5 AVENUE DE LAUMIERE 75019.0,SANISETTE,48.88302878255986,2.381421987092033
gratuit,Oui,Paris,14  RUE MEYNADIER 75019.0,SANISETTE,48.883501985506584,2.3834505083083677
gratuit,Oui,Paris,213  AVENUE JEAN JAURES 75019.0,SANISETTE,48.888951442257486,2.393095759882974
gratuit,Oui,Paris,6  AVENUE DE LA PORTE DE MONTREUIL 75020.0,SANISETTE,48.85380970359548,2.4115163834644875
gratuit,Oui,Paris,117  RUE MONTMARTRE nan,SANISETTE,48.86874906648296,2.343235945649156
gratuit,Oui,Paris,RUE CUVIER nan,SANISETTE,48.84439660262885,2.3603946971559515
gratuit,Oui,Paris,COURS LA REINE nan,SANISETTE,48.86514883797138,2.318088034663091
gratuit,Oui,Paris,opposé au 44 AVENUE GABRIEL nan,SANISETTE,48.869470956238764,2.31276020722228
gratuit,Oui,Paris,SQUARE ALBAN SATRAGNE 75010.0,SANISETTE,48.87578071143161,2.3558626724604177
